abstenga;2;No participe
comunicado;2;acto de avisar
decapitar;2;castigo mortal
familiares;2;personas que amamos
nombres;2;comunes o propios
embargo;2;Retención por orden judicial de un bien
cotizar;2;pagar una cuota impuesta
cumplir;2;...su palabra.
cotizado;2;lo que esta admirado
consumidor;2;suele referirse a un cliente
sentencia;2;acto dictado por un juez
supremo;2;sentencia
pandemia;2;situación sanitaria
diccionario;2;palabras
cumplir;2;... las leyes
estudiar;2; adquirir conocimientos
variables;2;determinantes
deportes;2;competiciones
elementos;2; exiten  4 en la naturaleza
posibilidad;2;opciones
clasificado;2;organizado por grupo
