accused;1;courtcase
activists;1;demonstrations
china;1;place
territory;1;border
saying;1;proverb
month;1;twelve
forces;1;defense
punishment;1;sentence
length;1;width
scheme;1;plan of action
economy;1;business
optimism;1;silver lining
vaccine;1;prevention
people;1;communism
school;1;education
business;1;joint venture
current;1;up to date
pressure;1;barometer
deadline;1;on schedule
national;1;local
union;1;syndicate
website;1;technology
college;1;university
digital;1;software
income;1;poverty
client;1;service
America;1;Columbus
family;1;nuclear and extended
advocacy;1;activism
choice;1;freewill
