ennemi;1;personne
entrer;1;acceder a un lieu clos
erreur;1; á eviter
lettre;1; utlisé dans des textes
offrir;1;un geste
rendre;1; un geste
rester;1;Continuer d'être    
tenter;1; une action  
terre;1; planete
cesser;1; stopper
dessus;1;position relative
effet;1;conséquence
guerre;1; lutte acharné
propos;1; but que l'on se fixe 
propre;1;appartient d'une manière exclusive ou particulière à une personne
serrer;1;de manière à comprimer
autant;1; aussi bien
femme;1;Adulte
fermer;1;Adulte
madame;1; femme
membre;1; personne apartenant a un group
perdre;1; craint par les sportifs
peuple;1; acteur de la democratie
pierre;1; nom
saisir;1; generalement associé´à opportunité
veille;1; ancien
verre;1; objet fragile
verser;1; action 
