international;3;worldwide
demonstration;3;protesters
establishment;3;business
disadvantage;3;drawback
compassionate;3;kind
republican;3;US politics
certification;3;authentication
diversifying;3;involving many
irrationality;3;not logical
systematically;3;in an organised manner
misconceptions;3;prejudice
compatible;3;square peg in a square hole
consequently;3;as a result
importance;3;paramount
automatically;3;naturally
coincidentally;3;side by side
participation;3;active involvement
accountability;3;responsibility
performances;3;output
psychologist;3;therapy
communicated;3;word spread
circumstances;3;happenings
hyperbolic;3;figure of speech
advertising;3;commercials
justification;3;defendant
expectations;3;live up to
introspection;3;self-critique
probabilities;3;likelihood
uncompleted;3;project
consciousness;3;awareness
